group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,78495700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,64068700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,59699200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66903100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63839000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,69568600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,92212500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,57964700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,71792700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,79354200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,75461200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,60490800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,72107400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,71436200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,105627400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,71929200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,79814600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,75401100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,154647800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,86297400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,72050800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,64492200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,61826400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63813300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,72004700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,91588300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,99527500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,139908200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,76444300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,97104100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,93886500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,136195600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,79384600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,99444700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,91701500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63416100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,64981500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,59532100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,64498200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66286900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,80942600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63599400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62209000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63988000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,65233700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,69848300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,57576000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,67660800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66401000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,89425200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,60473200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,61915200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,70685400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,69059100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,69737400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66493200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,60913500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,56882300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,61730200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,61268600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66221600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,65253000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,60349600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,78132400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,78236900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,78292500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,56007200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,65198600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62866200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,54586900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,55958400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,61091800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62018100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,58757200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,60419300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62281400.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,59395100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,67071000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,59143100.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,73518700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,57302000.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,59494200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,57852900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,63648300.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,84989900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66048200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,66709200.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,64472900.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62331700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,58344700.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,58401800.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,58052600.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,62454500.0,ns,2
benchmarks,create_bundle_from_data_items,16384000,32768,bytes,58376700.0,ns,2
