group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1008393100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1161526200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1169837600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1148713900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1077213000.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1199461700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1127967500.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1334111400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1143736100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1226020200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1243427300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1087828400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1084307800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1072291300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,930180400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,860591900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,919625100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1045374700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1318579300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1020880200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,924538200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1060787700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1259112800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1293379000.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1147705200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1118543500.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1213296800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1316921800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1098377500.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1432704300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1230661700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1204959900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1231200800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1170358800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1185796700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1156421900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1130890200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1086851400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1061027700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1147355600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1073808000.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1163551200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1115092400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1188144700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1140173900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1197229900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1173037700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1057128900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1110950200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,964366600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1046960400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1204938200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,950060300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,993974400.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1047819300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1024662900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1149936900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1146852800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1163289900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1168257100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1210440900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,917323800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,987326300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1354270900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1128073800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,990019800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1251353600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1075955800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1174858300.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1166183600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1063224100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1004803800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1253573800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1080391000.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1033547900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1007541500.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1113919600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1053947900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,974646100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1129572900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1101945900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1263425800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1130806100.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1053796800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1241320900.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1164265200.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,983767800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,990211600.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1183871800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1116282700.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1341766800.0,ns,1
benchmarks,create_bundle_from_data_items,629145600,4194304,bytes,1021657500.0,ns,1
