group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_data_item,16777216,16777216,bytes,70980800.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,69965300.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,69911100.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,68470600.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,69925700.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,70058800.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,67860800.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,67645700.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,67188700.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,65895100.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66096600.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,71939600.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,67231800.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66719300.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66121700.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,65515200.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,65931900.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,65752300.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66118200.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,71330200.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,65771000.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66165700.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,66749100.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,71812100.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,69601100.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,77388000.0,ns,2
benchmarks,create_data_item,16777216,16777216,bytes,71493000.0,ns,2
