group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,522538500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,521799200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,523896300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,520554200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,524561400.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,528114100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,530812300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,568123800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,523742000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,537779200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,538200200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,524577800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,532428600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,531625100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,529624200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,537712700.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,573648000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,535904500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,537735100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,526711300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,538946200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,535121500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,531195500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,536249800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,536718900.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,528418000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,532299300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,538260600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,540054500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,628005200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,747107300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,776239800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,739554800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,724586100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,853011100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,896756900.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,935432200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,776736600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,799656200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,689055600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,755512600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,784935900.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,819912100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,746519200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,733904400.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,714319600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,717123100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,724197200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,819013800.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,974014000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,977010600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,933399300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,735203500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,691590000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,689700200.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,774617000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,707205300.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,747431000.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,742561600.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,720845500.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,719883900.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,746478900.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,781049100.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,738611700.0,ns,1
benchmarks,create_data_items_in_parallel,524288000,1048576,bytes,914991200.0,ns,1
